Symbol,
ABB,ABB.NS
ACC,ACC.NS
AUBANK,AUBANK.NS
ABBOTINDIA,ABBOTINDIA.NS
ADANIENT,ADANIENT.NS
ADANIGREEN,ADANIGREEN.NS
ADANIPORTS,ADANIPORTS.NS
ATGL,ATGL.NS
ADANITRANS,ADANITRANS.NS
AWL,AWL.NS
ABCAPITAL,ABCAPITAL.NS
ABFRL,ABFRL.NS
ALKEM,ALKEM.NS
AMBUJACEM,AMBUJACEM.NS
APOLLOHOSP,APOLLOHOSP.NS
ASHOKLEY,ASHOKLEY.NS
ASIANPAINT,ASIANPAINT.NS
ASTRAL,ASTRAL.NS
AUROPHARMA,AUROPHARMA.NS
DMART,DMART.NS
AXISBANK,AXISBANK.NS
BAJAJ-AUTO,BAJAJ-AUTO.NS
BAJFINANCE,BAJFINANCE.NS
BAJAJFINSV,BAJAJFINSV.NS
BAJAJHLDNG,BAJAJHLDNG.NS
BALKRISIND,BALKRISIND.NS
BANDHANBNK,BANDHANBNK.NS
BANKBARODA,BANKBARODA.NS
BANKINDIA,BANKINDIA.NS
BATAINDIA,BATAINDIA.NS
BERGEPAINT,BERGEPAINT.NS
BEL,BEL.NS
BHARATFORG,BHARATFORG.NS
BHEL,BHEL.NS
BPCL,BPCL.NS
BHARTIARTL,BHARTIARTL.NS
BIOCON,BIOCON.NS
BOSCHLTD,BOSCHLTD.NS
BRITANNIA,BRITANNIA.NS
CANBK,CANBK.NS
CHOLAFIN,CHOLAFIN.NS
CIPLA,CIPLA.NS
CLEAN,CLEAN.NS
COALINDIA,COALINDIA.NS
COFORGE,COFORGE.NS
COLPAL,COLPAL.NS
CONCOR,CONCOR.NS
COROMANDEL,COROMANDEL.NS
CROMPTON,CROMPTON.NS
CUMMINSIND,CUMMINSIND.NS
DLF,DLF.NS
DABUR,DABUR.NS
DALBHARAT,DALBHARAT.NS
DEEPAKNTR,DEEPAKNTR.NS
DELHIVERY,DELHIVERY.NS
DIVISLAB,DIVISLAB.NS
DIXON,DIXON.NS
LALPATHLAB,LALPATHLAB.NS
DRREDDY,DRREDDY.NS
EICHERMOT,EICHERMOT.NS
EMAMILTD,EMAMILTD.NS
ESCORTS,ESCORTS.NS
NYKAA,NYKAA.NS
FEDERALBNK,FEDERALBNK.NS
FORTIS,FORTIS.NS
GAIL,GAIL.NS
GLAND,GLAND.NS
GODREJCP,GODREJCP.NS
GODREJPROP,GODREJPROP.NS
GRASIM,GRASIM.NS
GUJGASLTD,GUJGASLTD.NS
GSPL,GSPL.NS
HCLTECH,HCLTECH.NS
HDFCAMC,HDFCAMC.NS
HDFCBANK,HDFCBANK.NS
HDFCLIFE,HDFCLIFE.NS
HAVELLS,HAVELLS.NS
HEROMOTOCO,HEROMOTOCO.NS
HINDALCO,HINDALCO.NS
HAL,HAL.NS
HINDPETRO,HINDPETRO.NS
HINDUNILVR,HINDUNILVR.NS
HINDZINC,HINDZINC.NS
HONAUT,HONAUT.NS
HDFC,HDFC.NS
ICICIBANK,ICICIBANK.NS
ICICIGI,ICICIGI.NS
ICICIPRULI,ICICIPRULI.NS
ISEC,ISEC.NS
IDFCFIRSTB,IDFCFIRSTB.NS
ITC,ITC.NS
INDIAMART,INDIAMART.NS
INDIANB,INDIANB.NS
IEX,IEX.NS
INDHOTEL,INDHOTEL.NS
IOC,IOC.NS
IRCTC,IRCTC.NS
IGL,IGL.NS
INDUSTOWER,INDUSTOWER.NS
INDUSINDBK,INDUSINDBK.NS
NAUKRI,NAUKRI.NS
INFY,INFY.NS
INDIGO,INDIGO.NS
IPCALAB,IPCALAB.NS
JSWENERGY,JSWENERGY.NS
JSWSTEEL,JSWSTEEL.NS
JINDALSTEL,JINDALSTEL.NS
JUBLFOOD,JUBLFOOD.NS
KOTAKBANK,KOTAKBANK.NS
L&TFH,L&TFH.NS
LTTS,LTTS.NS
LICHSGFIN,LICHSGFIN.NS
LTIM,LTIM.NS
LT,LT.NS
LAURUSLABS,LAURUSLABS.NS
LICI,LICI.NS
LINDEINDIA,LINDEINDIA.NS
LUPIN,LUPIN.NS
MRF,MRF.NS
M&MFIN,M&MFIN.NS
M&M,M&M.NS
MARICO,MARICO.NS
MARUTI,MARUTI.NS
MFSL,MFSL.NS
MAXHEALTH,MAXHEALTH.NS
MSUMI,MSUMI.NS
MPHASIS,MPHASIS.NS
MUTHOOTFIN,MUTHOOTFIN.NS
NTPC,NTPC.NS
NATIONALUM,NATIONALUM.NS
NAVINFLUOR,NAVINFLUOR.NS
NESTLEIND,NESTLEIND.NS
NAM-INDIA,NAM-INDIA.NS
OBEROIRLTY,OBEROIRLTY.NS
ONGC,ONGC.NS
OIL,OIL.NS
PAYTM,PAYTM.NS
OFSS,OFSS.NS
POLICYBZR,POLICYBZR.NS
PIIND,PIIND.NS
PAGEIND,PAGEIND.NS
PATANJALI,PATANJALI.NS
PERSISTENT,PERSISTENT.NS
PETRONET,PETRONET.NS
PIDILITIND,PIDILITIND.NS
POLYCAB,POLYCAB.NS
POONAWALLA,POONAWALLA.NS
PFC,PFC.NS
POWERGRID,POWERGRID.NS
PRESTIGE,PRESTIGE.NS
PGHH,PGHH.NS
PNB,PNB.NS
RECLTD,RECLTD.NS
RELIANCE,RELIANCE.NS
