Symbol,Ticker,,,,,,,,,
,,,,,,,,,,
INDHOTEL,INDHOTEL.NS,,,,,,,,,
DIXON,DIXON.NS,,,,,,,,,
JINDALSTEL,JINDALSTEL.NS,,,,,,,,,
GUJGASLTD,GUJGASLTD.NS,,,,,,,,,
VINATIORGA,VINATIORGA.NS,,,,,,,,,
AIAENG,AIAENG.NS,,,,,,,,,
POLYCAB,POLYCAB.NS,,,,,,,,,
UNOMINDA,UNOMINDA.NS,,,,,,,,,
ATUL,ATUL.NS,,,,,,,,,
TTML,TTML.NS,,,,,,,,,
VBL,VBL.NS,,,,,,,,,
AAVAS,AAVAS.NS,,,,,,,,,
THERMAX,THERMAX.NS,,,,,,,,,
SONACOMS,SONACOMS.NS,,,,,,,,,
KAJARIACER,KAJARIACER.NS,,,,,,,,,
LAURUSLABS,LAURUSLABS.NS,,,,,,,,,
TRENT,TRENT.NS,,,,,,,,,
NAVINFLUOR,NAVINFLUOR.NS,,,,,,,,,
ZYDUSLIFE,ZYDUSLIFE.NS,,,,,,,,,
ALKYLAMINE,ALKYLAMINE.NS,,,,,,,,,
SUMICHEM,SUMICHEM.NS,,,,,,,,,
BALKRISIND,BALKRISIND.NS,,,,,,,,,
APLLTD,APLLTD.NS,,,,,,,,,
LODHA,LODHA.NS,,,,,,,,,
APLAPOLLO,APLAPOLLO.NS,,,,,,,,,
AUROPHARMA,AUROPHARMA.NS,,,,,,,,,
PAGEIND,PAGEIND.NS,,,,,,,,,
MRF,MRF.NS,,,,,,,,,
DELHIVERY,DELHIVERY.NS,,,,,,,,,
COROMANDEL,COROMANDEL.NS,,,,,,,,,
LINDEINDIA,LINDEINDIA.NS,,,,,,,,,
M&MFIN,M&MFIN.NS,,,,,,,,,
SYNGENE,SYNGENE.NS,,,,,,,,,
SUPREMEIND,SUPREMEIND.NS,,,,,,,,,
SUNDARMFIN,SUNDARMFIN.NS,,,,,,,,,
SKFINDIA,SKFINDIA.NS,,,,,,,,,
SHRIRAMFIN,SHRIRAMFIN.NS,,,,,,,,,
ZFCVINDIA,ZFCVINDIA.NS,,,,,,,,,
IPCALAB,IPCALAB.NS,,,,,,,,,
MANYAVAR,MANYAVAR.NS,,,,,,,,,
CROMPTON,CROMPTON.NS,,,,,,,,,
CLEAN,CLEAN.NS,,,,,,,,,
RAMCOCEM,RAMCOCEM.NS,,,,,,,,,
CGPOWER,CGPOWER.NS,,,,,,,,,
ALKEM,ALKEM.NS,,,,,,,,,
GRINDWELL,GRINDWELL.NS,,,,,,,,,
MSUMI,MSUMI.NS,,,,,,,,,
BAYERCROP,BAYERCROP.NS,,,,,,,,,
PERSISTENT,PERSISTENT.NS,,,,,,,,,
